date,type,year,avg_price,size,nb_sold
1/1/2015,conventional,2015,1.83,large,6855577.557
1/8/2015,conventional,2015,2.31,medium,1490899.19
1/15/2015,organic,2015,2.04,small,2784575.561
1/22/2015,conventional,2015,1.89,medium,833549.401
1/29/2015,organic,2015,1.69,extra_large,2025960.44
2/5/2015,conventional,2015,1.8,extra_large,4042881.035
2/12/2015,organic,2015,2.1,large,9322661.938
2/19/2015,conventional,2015,1.01,extra_large,9120757.998
2/26/2015,organic,2015,1.73,large,9761587.788
3/5/2015,organic,2015,1.79,small,4966358.592
3/12/2015,conventional,2015,1.5,medium,891068.499
3/19/2015,organic,2015,2.42,extra_large,
3/26/2015,organic,2015,1.73,extra_large,
4/2/2015,conventional,2015,1.99,small,
4/9/2015,conventional,2015,1.34,extra_large,
4/16/2015,organic,2015,2.45,large,
4/23/2015,conventional,2015,2.11,extra_large,
4/30/2015,conventional,2015,1.04,large,
5/7/2015,organic,2015,2.46,large,
5/14/2015,conventional,2015,2.07,medium,
5/21/2015,organic,2015,2.26,large,
5/28/2015,conventional,2015,1.65,small,
6/4/2015,organic,2015,2.38,large,
6/11/2015,conventional,2015,2.43,small,
6/18/2015,organic,2015,1.53,large,9132162.531
6/25/2015,conventional,2015,2.19,medium,4054771.628
7/2/2015,conventional,2015,0.97,large,3647636.573
7/9/2015,conventional,2015,2.19,extra_large,5069655.823
7/16/2015,conventional,2015,1.2,extra_large,389502.938
7/23/2015,organic,2015,1.87,extra_large,8819037.198
7/30/2015,organic,2015,1.7,extra_large,25076.814
8/6/2015,conventional,2015,2.42,large,9314882.792
8/13/2015,conventional,2015,1.17,small,2475582.532
8/20/2015,conventional,2015,1.33,medium,1005257.832
8/27/2015,organic,2015,0.87,extra_large,4284795.568
9/3/2015,organic,2015,1.04,extra_large,6474737.868
9/10/2015,conventional,2015,1.32,medium,8355570.634
9/17/2015,conventional,2015,2.08,extra_large,4115738.215
9/24/2015,conventional,2015,1.37,small,866559.666
10/1/2015,conventional,2015,0.92,extra_large,3428607.752
10/8/2015,organic,2015,1.09,medium,1268070.399
10/15/2015,conventional,2015,1.95,medium,2796507.062
10/22/2015,conventional,2015,2.47,medium,1505689.805
10/29/2015,conventional,2015,1.98,large,9333276.227
11/5/2015,conventional,2015,1.2,medium,2167622.757
11/12/2015,conventional,2015,1.47,extra_large,1528625.32
11/19/2015,conventional,2015,1.67,small,994361.214
11/26/2015,organic,2015,1.34,large,6973525.681
12/3/2015,conventional,2015,1.26,large,6421756.038
12/10/2015,organic,2015,1.05,large,1478687.422
12/17/2015,organic,2015,1.49,extra_large,5029194.532
12/24/2015,organic,2015,2.37,medium,8241862.089
12/31/2015,organic,2015,1.43,medium,5896142.342
1/7/2016,conventional,2016,2.46,extra_large,9941175.192
1/14/2016,conventional,2016,2.04,extra_large,8221898.921
1/21/2016,organic,2016,2.14,small,685272.361
1/28/2016,conventional,2016,2.48,extra_large,9562642.87
2/4/2016,organic,2016,1.75,medium,8668543.48
2/11/2016,organic,2016,2.33,small,7797367.232
2/18/2016,organic,2016,1.44,medium,837974.6
2/25/2016,conventional,2016,2.41,small,9139066.778
3/3/2016,organic,2016,1,extra_large,8682080.935
3/10/2016,conventional,2016,2.11,large,5267946.212
3/17/2016,conventional,2016,1.52,large,5958001.344
3/24/2016,organic,2016,1.74,small,874098.396
3/31/2016,conventional,2016,1.14,medium,6050790.803
4/7/2016,conventional,2016,1.33,medium,233589.463
4/14/2016,conventional,2016,0.96,extra_large,9747729.764
4/21/2016,organic,2016,1.3,extra_large,8876859.885
4/28/2016,conventional,2016,1.82,small,2699646.566
5/5/2016,organic,2016,1.57,extra_large,770078.501
5/12/2016,conventional,2016,2.26,large,4258799.118
5/19/2016,organic,2016,2.33,medium,7908382.75
5/26/2016,organic,2016,1.76,large,873361.209
6/2/2016,organic,2016,2.42,large,4487688.118
6/9/2016,conventional,2016,1.61,small,7578151.799
6/16/2016,conventional,2016,1.46,large,9542042.369
6/23/2016,organic,2016,1.75,extra_large,9691196.248
6/30/2016,organic,2016,1.52,small,2059646.546
7/7/2016,conventional,2016,2.01,large,586223.878
7/14/2016,conventional,2016,1.2,medium,5217299.694
7/21/2016,conventional,2016,0.98,large,1595406.942
7/28/2016,conventional,2016,1.45,medium,9603318.172
8/4/2016,organic,2016,2.09,small,1162058.763
8/11/2016,organic,2016,0.93,small,2956867.885
8/18/2016,conventional,2016,2.21,large,7878723.84
8/25/2016,conventional,2016,0.83,medium,5296963.923
9/1/2016,conventional,2016,1.23,extra_large,5150981.349
9/8/2016,organic,2016,1.98,medium,5752274.608
9/15/2016,organic,2016,1.6,medium,427703.232
9/22/2016,conventional,2016,1.65,small,8488090.171
9/29/2016,conventional,2016,1.78,large,3898653.71
10/6/2016,organic,2016,1.24,medium,8764347.569
10/13/2016,conventional,2016,2.06,large,4350031.132
10/20/2016,organic,2016,1.86,large,8889140.811
10/27/2016,organic,2016,1.9,large,6556463.411
11/3/2016,conventional,2016,1.43,large,3875626.278
11/10/2016,conventional,2016,1.8,extra_large,7739179.084
11/17/2016,conventional,2016,0.83,medium,100789.694
